,p01,p05,p10,p25,p50,p75,p90,p95,p99,p100
cape dyer,0.2,0.2,0.3,0.5,1.6,5.1,12.2,18.8,38.1,90.2
resolute bay,0.2,0.2,0.2,0.3,0.6,1.5,3.3,5.3,11.9,35.0
eureka,0.2,0.2,0.2,0.3,0.5,1.2,2.6,4.0,8.0,41.7
alert,0.2,0.2,0.2,0.4,0.7,1.5,3.3,4.8,9.7,44.3
clyde river,0.2,0.2,0.2,0.4,0.9,2.3,5.0,7.6,16.5,41.0
cambridge bay,0.2,0.2,0.2,0.3,0.6,1.5,3.6,5.6,11.9,35.8
hall beach,0.2,0.2,0.2,0.4,0.8,2.2,4.8,7.2,15.4,52.6
sachs harbour,0.2,0.2,0.2,0.3,0.6,1.5,3.3,5.1,11.4,26.0
inuvik,0.2,0.2,0.3,0.5,1.0,2.2,4.6,7.1,13.7,52.2
pond inlet,0.2,0.2,0.2,0.5,1.0,2.3,5.0,7.6,15.5,30.5
